ka_code,ka_name,ku_name,description
SDF,Software Development Fundamentals,Fundamental Programming Concepts and Practices,"Introduces fundamental programming concepts and practices, including variables, data types, control structures, functions, modularization, coding style, and debugging techniques."
SDF,Software Development Fundamentals,Fundamental Data Structures,"Involves the design and implementation of basic data structures, including but not limited to arrays, linked lists, stacks, queues, trees, graphs, and hash tables, discussing their time complexity, space complexity, and applicable scenarios."
SDF,Software Development Fundamentals,Algorithms,"Explore the fundamental principles of algorithm design and analysis, including but not limited to sorting, searching, graph algorithms, dynamic programming, and greedy algorithms, as well as their time complexity and space complexity analysis."
SDF,Software Development Fundamentals,Software Development Practices,"Involves best practices and methodologies in the software development process, including key techniques such as agile development, test-driven development, continuous integration and continuous deployment, code review, version control, and project management."
SE,Software Engineering,Teamwork,"Involves team collaboration and management in software development, including agile development methodologies, team communication skills, the use of project management tools, and how to allocate tasks and coordinate workflows within a team."
SE,Software Engineering,Tools and Environments,"Involves tools and environments in the field of software engineering, including but not limited to Integrated Development Environments (IDEs), version control systems (such as Git), automated testing frameworks, Continuous Integration/Continuous Deployment (CI/CD) tools, project management software, and configuration management tools. Discusses how these tools support various stages of the software development lifecycle, from requirements analysis to design, coding, testing, deployment, and maintenance, as well as how they facilitate team collaboration and enhance development efficiency."
SE,Software Engineering,Product Requirements,"Involves the collection, analysis, and definition processes of software product requirements, including the principles, methods, and tools of requirements engineering, as well as how to transform user needs into specific system functions and performance metrics."
SE,Software Engineering,Software Design,"Involves the fundamental principles and methods of software design, including requirement analysis, architectural design, modularization, interface design, selection of data structures, algorithm implementation, and user interface design. Discusses how to improve software maintainability, extensibility, and testability through design patterns and software refactoring."
SE,Software Engineering,Software Construction,"Involving build activities in the software development process, including coding practices, code reviews, unit testing, integration strategies, version control, and continuous integration, among other key technologies, aims to enhance software quality and development efficiency."
SE,Software Engineering,Software Verification and Validation,"Involving methods and techniques for software verification and validation, including unit testing, integration testing, system testing, and acceptance testing, as well as the application of static analysis, dynamic analysis, and formal verification techniques. Discussing how to ensure software correctness, reliability, and user requirement satisfaction through these methods."
SE,Software Engineering,Refactoring and Code Evolution,"The theory and practice of software refactoring and code evolution, including principles of refactoring, application of design patterns, code quality assessment, use of automated refactoring tools, and version control and change management during the code evolution process."
SE,Software Engineering,Software Reliability,"Discussing the assessment methods and improvement strategies for software reliability, including software testing, error analysis, fault-tolerant design, and reliability metrics."
SE,Software Engineering,Formal Methods,"Discussing formal methods in software engineering, including but not limited to specification description languages, model checking, theorem proving, and formal verification techniques, as well as their applications in system design, verification, and testing."
SEP,"Society, Ethics, and the Profession",History,"Explore the development history of computer science, including key technological milestones, significant events, and the impact of computer science on society and culture."
SEP,"Society, Ethics, and the Profession",Economies of Computing,"Discussing the impact of computer technology on the economy, including the transformative effects of digital transformation, cloud computing, big data, and artificial intelligence on industries, employment, and market structures."
SEP,"Society, Ethics, and the Profession","Security Policies, Laws, and Computer Crimes","Involving the basic concepts and frameworks of computer security policies, laws, and computer crime, discussing how to protect the security of information systems under the constraints of law and ethics, including but not limited to data protection regulations, privacy rights, intellectual property rights, and prevention and response strategies for cybercrime."
SEP,"Society, Ethics, and the Profession","Diversity, Equity, Inclusion and Accessibility","Discussing the importance of diversity, equality, inclusion, and accessibility in the field of computer science, including how to identify and address challenges arising from differences in gender, race, culture, and ability, as well as how to promote the accessibility of technology for all through inclusive design and policies."
SF,Systems Fundamentals,System Design,"Involves the fundamental theories and practical methods of system design, including the selection of system architecture, modular design, interface definition, performance evaluation, and considerations for reliability and security. Discusses how to choose appropriate hardware and software components based on different application requirements, and how to verify the effectiveness of the design through system-level simulation and prototype development."
SPD,Specialized Platform Development,Common Aspects,"Involves common issues in platform-specific development, including cross-platform compatibility, hardware abstraction layer design, performance optimization strategies, and programming models and toolchains for specific platforms."
SPD,Specialized Platform Development,Web Platforms,"Core concepts and technologies involved in Web platform development, including front-end technologies such as HTML, CSS, and JavaScript, as well as back-end technologies like Node.js and Express. Discussion on the architectural design, performance optimization, cross-platform compatibility, and security issues of Web applications."
SPD,Specialized Platform Development,Mobile Platforms,"Core concepts and technologies involved in mobile platform development, including but not limited to the architecture of mobile operating systems (such as Android and iOS), application development frameworks, principles of user interface design, interaction patterns unique to mobile devices, and performance optimization and cross-platform compatibility issues of mobile applications."
SPD,Specialized Platform Development,Robot Platforms,"Involves the development of robotic platforms, including but not limited to the use of Robot Operating System (ROS), programming of robotic hardware interfaces, sensor integration, and the implementation of robotic motion control algorithms. Discusses how to customize robotic platforms for different application scenarios and how to enhance the performance and reliability of robots through the collaborative design of software and hardware."
SPD,Specialized Platform Development,Embedded Platforms,"Involves the design and development of embedded platforms, including microcontroller programming, principles of real-time operating systems, hardware interface and driver development, power management strategies, and performance optimization of embedded systems."
SPD,Specialized Platform Development,Game Platforms,"Discussing the development technologies of gaming platforms, including game engine architecture, graphics rendering pipeline, physics engine integration, and cross-platform compatibility design."
SPD,Specialized Platform Development,Interactive Computing Platforms,"Involves the development of interactive computing platforms, including but not limited to user interface design, interactive system architecture, multimodal interaction technologies, and the construction of virtual reality and augmented reality platforms. Discusses how to enhance user experience and system responsiveness through the integration of software and hardware, as well as practical cases of applying interactive computing platforms in specific domains such as gaming, education, and healthcare."
